"Tarih","PM10","SO2","NO2","O3"
"2020/4/3","16.71915","69.70604",,
"2020/4/3","6.328125","69.5095","14.17203",
"2020/4/3","19.58239","69.41676","11.75516",
"2020/4/3","9.328125","70.17782","12.9402",
"2020/4/3","8.02983","70.09396","11.49327",
"2020/4/3","8.968839","70.95734","18.49798",
"2020/4/3","5.119318","71.38738","17.76139",
"2020/4/3","3.059659","72.04906","18.0073",
"2020/4/3","4.940256","71.85326","19.141",
"2020/4/3","3.06422","72.12516","18.09117",
"2020/4/3","7.851563","72.03021","21.58126",
"2020/4/3","12.84424","71.93379","11.68669",
"2020/4/3","13.96739","71.89204","10.09256",
"2020/4/3","14.9688","71.93933","10.43945",
"2020/4/3","15.96885","71.6072","10.58266",
"2020/4/3","7.25825","72.15804","14.92687",
"2020/4/3","16.68839","72.17725","15.01759",
"2020/4/3","10.21844","71.77049","12.70342",
"2020/4/3","8.056899","71.45093","16.12789",
"2020/4/2","25.4383","71.81187","24.43975",
"2020/4/2","18.24965","71.22556","30.97888",
"2020/4/2","8.311615","71.5093","26.82695",
"2020/4/2","16.71955","71.86249","39.38317",
"2020/4/2","17","71.12766","24.99661",
"2020/4/2","21.83051","71.33972","31.96309",
"2020/4/2","31.67239","70.5916",,
"2020/4/2","40.70561","71.16719","35.18844",
"2020/4/2","37.12444","70.41501","33.68959",
"2020/4/2","37","70.57349","37.45127",
"2020/4/2","38.93494","70.70058","24.98748",
"2020/4/2","46.73975","71.2311","27.29024",
"2020/4/2","47","71.28837","30.67991",
"2020/4/2","40.17418","71.14022","31.45986",
"2020/4/2","41.95334","70.97472","33.49161",
"2020/4/2","35.17418","70.51032","24.36614",
"2020/4/2","42.80488","71.23332","24.43518",
"2020/4/2","27.34384","70.69874","26.18394",
"2020/4/2","25.04823","71.1273","18.26976",
"2020/4/2","25","70.81512","30.50076",
"2020/4/2","29.88652","70.68544","28.16433",
"2020/4/2","34.87943","70.71056","24.43119",
"2020/4/2","32.07214","71.57247","22.62253",
"2020/4/2","21.23438","70.71795","26.5314",
"2020/4/1","21","70.79886","32.53536",
"2020/4/1","22.95184","70.84023","37.72",
"2020/4/1","12.2645","70.97213","24.55956",
"2020/4/1","14.92662","70.964","25.03312",
"2020/4/1","15","70.73827","23.81955",
